AUTHOR,TITLE,MAP,PUB_YEAR,COMMENT,DEWEY_CALL_NO,CLIENT
"GILLIS, BRADLEY","THE O'BRIEN'S EXPEDITION FOR ""GREENER PASTURES"" [MAP]",YES,2000,,MAP 574.92 GIL 2000,
"DODGE, ANDREA",THE WONDERS OF VERTICAL MAPPER: A MAPINFO FUNCTION [MAP],YES,2001,,MAP 574.92 DOD 2001,
"DALY, TIM","TOUR DE FRANCE, JULY 7-29, 2001 [MAP]",YES,2001,,MAP 526.8 DAL 2001,
"MORRIER, STEVE",TOURISM INFORMATION MANAGEMENT SYSTEM,NO,1998,OCEAN WEST EXPEDITIONS LTD.,658.4 MOR 1998,
"WINCHESTER, GISELLE",TOWARD CLEAN GROUNDWATER PROJECT REPORT,NO,1998,,711.3 WIN,
"BOUTILIER, JENNIFER","TOWN OF TRURO, URBAN REGIONAL CORE: ARCVIEW PARKING ANALYSIS",NO,2000,,711.3 BOU 2000,
"DALY, TOM","TRACKING THE HISTORY OF DEVELOPMENT POLICY: NOVA SCOTIA, CANADA 1989-1994",NO,1996,,711.3 DAL 1996,COMMUNITY ECONOMIC DEVELOPMENT - NOVA SCOTIA
"MACDONALD, KEVIN","TRAIL DESIGN, LAWRENCETOWN WATERSHED LANDS",NO,1992,,711.3 MAC,
"CORBETT, PETER",TRANSPORTATION PLANNING: A PUBLIC TRANSIT CASE STUDY; AN ARC/INFO GEOGRAPHIC INFORMATION SYSTEM APPLICATION,NO,1989,,711.3 COR,TRANSPORTATION - BUSES
"TEMPLE, TONIA",TREMORS: SAN FRANCISCO BAY AREA [MAP],YES,2001,,MAP 526.8 TEM 2001,
"ROBICHAUD, BRIAN",TRUCKING AND ROUTING ANALYSIS,NO,1999,PARADOX SOFTWARE,658.4 ROB 1999,
"FOX, SCOTT",UPLANDS PARK PROPOSAL,NO,1987,,711.3 FOX,"PLANNING - DIGBY COUNTY, NOVA SCOTIA"
"SHUPE, CHRIS",VICTORY AT PEARL HARBOR [MAP],YES,2001,,MAP 526.8 SHU 2001,
